Food_ID,Commodity,Category,Moisture_pct,Fat_pct,Protein_pct,pH,Respiration_Rate,Shelf_Life_Days,Storage_Temperature_C,Relative_Humidity_pct,Storage_Type,Transportation,Recommended_Packaging,Film_Thickness_um,OTR_Class,WVTR_Class,MAP_Suitable
F00047,Frozen Peas,Frozen Vegetable,81.28,0.36,5.29,6.21,Low,371,-16.1,87.0,Frozen,Normal,PE_Film,71,Medium,Low,Yes
F00048,Coffee Powder,Beverage,2.86,15.28,13.55,4.98,Very_Low,367,25.3,65.0,Ambient,Long_Distance,Metallized_PET_PE,74,Very_Low,Very_Low,No
F00049,Peanuts,Nuts,6.0,48.37,25.96,6.49,Very_Low,188,24.7,63.0,Ambient,Normal,Metallized_PET_PE,87,Very_Low,Very_Low,No
F00050,Cheese,Dairy,38.38,33.87,24.67,5.16,Very_Low,55,4.7,92.0,Chilled,Normal,PA_PE_Vacuum,89,Low,Very_Low,Yes
F00051,Bread,Bakery,39.43,4.01,9.44,5.33,Very_Low,5,25.0,63.0,Ambient,Normal,LDPE_Bag,50,Medium,Medium,No
F00052,Mango,Fresh Produce,81.59,0.34,0.62,4.11,High,19,11.0,70.0,Chilled,Normal,Breathable_PE,47,High,High,Yes
F00053,Carrot,Fresh Produce,87.86,0.3,0.8,6.06,High,29,4.6,84.0,Chilled,Long_Distance,Micro_Perforated_PE,35,High,High,Yes
F00054,Onion,Vegetable,86.29,0.0,1.1,5.39,Low,121,21.0,56.0,Ambient,Normal,Breathable_PP,45,High,Medium,Yes
F00055,Rice,Grain,12.26,0.64,6.85,6.57,Very_Low,355,24.4,78.0,Ambient,Normal,HDPE,78,Low,Low,No
F00056,Wheat Flour,Grain,12.53,1.53,13.16,6.01,Very_Low,184,25.3,50.0,Ambient,Long_Distance,HDPE,72,Low,Low,No
F00057,Ground Coffee,Beverage,2.77,14.36,13.73,4.87,Very_Low,396,25.4,59.0,Ambient,Normal,High_Barrier_Laminate,97,Very_Low,Very_Low,No
F00058,Butter,Dairy,16.63,82.35,1.21,6.37,Very_Low,108,4.5,90.0,Chilled,Long_Distance,Aluminum_Foil_Laminate,89,Very_Low,Very_Low,No
F00059,Yogurt,Dairy,86.98,2.84,4.06,4.38,Very_Low,30,2.9,91.0,Chilled,Refrigerated,PP_Cup_Foil_Lid,51,Medium,Low,Yes
F00060,Fish,Seafood,73.92,5.11,20.3,6.08,Very_Low,5,2.4,71.0,Chilled,Normal,PA_PE_Vacuum,93,Low,Very_Low,Yes
F00061,Potato Chips,Snacks,1.83,29.1,6.05,5.87,Very_Low,176,24.8,47.0,Ambient,Normal,Metallized_PET_PE,84,Low,Very_Low,Yes
F00062,Milk Powder,Dairy,4.23,26.01,26.69,6.4,Very_Low,351,23.9,75.0,Ambient,Long_Distance,Aluminum_Laminate,110,Very_Low,Very_Low,No
F00063,Tomato,Fresh Produce,97.39,0.14,0.98,4.16,High,15,5.7,65.0,Chilled,Long_Distance,Micro_Perforated_PE,36,High,High,Yes
F00064,Apple,Fresh Produce,84.8,0.35,0.25,3.35,High,61,5.2,89.0,Chilled,Long_Distance,Micro_Perforated_PE,43,High,High,Yes
F00065,Biscuits,Bakery,3.87,18.25,7.14,6.85,Very_Low,178,25.3,73.0,Ambient,Long_Distance,BOPP_PE,64,Low,Low,No
F00066,Fresh Chicken,Meat,68.33,7.76,21.71,5.76,Very_Low,5,4.8,87.0,Chilled,Refrigerated,PA_PE_Vacuum,89,Low,Very_Low,Yes
F00067,Frozen Peas,Frozen Vegetable,77.52,0.41,5.44,6.02,Low,331,-18.8,92.0,Frozen,Long_Distance,PE_Film,75,Medium,Low,Yes
F00068,Coffee Powder,Beverage,3.15,15.56,14.41,5.01,Very_Low,356,25.2,51.0,Ambient,Normal,Metallized_PET_PE,76,Very_Low,Very_Low,No
F00069,Peanuts,Nuts,5.89,48.37,24.96,6.72,Very_Low,176,25.1,42.0,Ambient,Normal,Metallized_PET_PE,83,Very_Low,Very_Low,No
F00070,Cheese,Dairy,36.75,32.03,24.67,5.25,Very_Low,62,3.5,91.0,Chilled,Refrigerated,PA_PE_Vacuum,97,Low,Very_Low,Yes
F00071,Bread,Bakery,39.62,4.06,9.32,5.54,Very_Low,7,25.2,56.0,Ambient,Long_Distance,LDPE_Bag,43,Medium,Medium,No
F00072,Mango,Fresh Produce,84.38,0.66,0.78,4.01,High,23,10.3,86.0,Chilled,Long_Distance,Breathable_PE,42,High,High,Yes
F00073,Carrot,Fresh Produce,86.67,0.33,0.84,5.94,High,31,4.8,75.0,Chilled,Refrigerated,Micro_Perforated_PE,35,High,High,Yes
F00074,Onion,Vegetable,85.23,0.25,1.08,5.45,Low,114,19.2,66.0,Ambient,Long_Distance,Breathable_PP,50,High,Medium,Yes
F00075,Rice,Grain,11.53,0.42,7.03,6.59,Very_Low,374,24.2,68.0,Ambient,Normal,HDPE,77,Low,Low,No
F00076,Wheat Flour,Grain,11.69,1.55,12.69,6.08,Very_Low,180,25.1,54.0,Ambient,Normal,HDPE,81,Low,Low,No
F00077,Ground Coffee,Beverage,3.4,14.85,13.81,4.75,Very_Low,339,25.7,62.0,Ambient,Normal,High_Barrier_Laminate,96,Very_Low,Very_Low,No
F00078,Butter,Dairy,15.9,84.65,0.73,6.33,Very_Low,127,3.0,82.0,Chilled,Normal,Aluminum_Foil_Laminate,88,Very_Low,Very_Low,No
F00079,Yogurt,Dairy,87.24,2.98,4.06,4.36,Very_Low,32,4.1,82.0,Chilled,Normal,PP_Cup_Foil_Lid,55,Medium,Low,Yes
F00080,Fish,Seafood,73.68,4.89,20.06,6.18,Very_Low,6,1.5,82.0,Chilled,Long_Distance,PA_PE_Vacuum,89,Low,Very_Low,Yes
F00081,Potato Chips,Snacks,2.37,30.38,5.95,6.07,Very_Low,175,24.9,70.0,Ambient,Normal,Metallized_PET_PE,84,Low,Very_Low,Yes
F00082,Milk Powder,Dairy,3.5,27.38,25.03,6.5,Very_Low,389,24.1,66.0,Ambient,Long_Distance,Aluminum_Laminate,93,Very_Low,Very_Low,No
F00083,Tomato,Fresh Produce,93.51,0.33,0.86,4.36,High,14,4.5,84.0,Chilled,Normal,Micro_Perforated_PE,42,High,High,Yes
F00084,Apple,Fresh Produce,90.9,0.0,0.39,3.63,High,56,4.8,76.0,Chilled,Long_Distance,Micro_Perforated_PE,49,High,High,Yes
F00085,Biscuits,Bakery,3.61,18.05,6.66,7.07,Very_Low,198,25.4,56.0,Ambient,Long_Distance,BOPP_PE,63,Low,Low,No
F00086,Fresh Chicken,Meat,71.24,7.84,23.63,5.69,Very_Low,6,3.3,95.0,Chilled,Normal,PA_PE_Vacuum,89,Low,Very_Low,Yes
F00087,Frozen Peas,Frozen Vegetable,75.36,0.27,5.3,6.2,Low,374,-18.7,86.0,Frozen,Long_Distance,PE_Film,66,Medium,Low,Yes
F00088,Coffee Powder,Beverage,3.25,14.94,14.31,5.18,Very_Low,363,25.3,45.0,Ambient,Normal,Metallized_PET_PE,79,Very_Low,Very_Low,No
F00089,Peanuts,Nuts,6.18,46.77,25.0,6.42,Very_Low,165,25.5,57.0,Ambient,Normal,Metallized_PET_PE,81,Very_Low,Very_Low,No
F00090,Cheese,Dairy,36.03,31.24,25.58,5.39,Very_Low,58,4.0,82.0,Chilled,Refrigerated,PA_PE_Vacuum,87,Low,Very_Low,Yes
F00091,Bread,Bakery,37.93,4.07,9.05,5.34,Very_Low,7,25.3,64.0,Ambient,Long_Distance,LDPE_Bag,55,Medium,Medium,No
F00092,Mango,Fresh Produce,84.08,0.4,0.83,4.09,High,21,10.1,82.0,Chilled,Refrigerated,Breathable_PE,41,High,High,Yes
F00093,Carrot,Fresh Produce,83.7,0.17,0.94,5.93,High,30,4.9,95.0,Chilled,Refrigerated,Micro_Perforated_PE,38,High,High,Yes
F00094,Onion,Vegetable,89.06,0.1,1.19,5.44,Low,121,19.8,56.0,Ambient,Long_Distance,Breathable_PP,48,High,Medium,Yes
F00095,Rice,Grain,12.02,0.8,6.56,6.35,Very_Low,389,25.2,76.0,Ambient,Normal,HDPE,82,Low,Low,No
F00096,Wheat Flour,Grain,12.26,1.53,12.47,6.17,Very_Low,186,25.0,69.0,Ambient,Normal,HDPE,77,Low,Low,No
F00097,Ground Coffee,Beverage,2.99,14.75,13.33,5.07,Very_Low,350,24.9,62.0,Ambient,Normal,High_Barrier_Laminate,80,Very_Low,Very_Low,No
F00098,Butter,Dairy,15.83,80.32,0.87,6.09,Very_Low,114,3.6,84.0,Chilled,Normal,Aluminum_Foil_Laminate,91,Very_Low,Very_Low,No
F00099,Yogurt,Dairy,84.93,2.97,4.07,4.22,Very_Low,31,4.1,83.0,Chilled,Normal,PP_Cup_Foil_Lid,47,Medium,Low,Yes
F00100,Fish,Seafood,77.19,5.24,19.06,6.21,Very_Low,4,1.7,89.0,Chilled,Long_Distance,PA_PE_Vacuum,87,Low,Very_Low,Yes
F00101,Potato Chips,Snacks,2.15,31.07,6.02,6.02,Very_Low,186,26.2,60.0,Ambient,Long_Distance,Metallized_PET_PE,71,Low,Very_Low,Yes
F00102,Milk Powder,Dairy,3.75,26.37,25.57,6.68,Very_Low,369,24.2,72.0,Ambient,Long_Distance,Aluminum_Laminate,109,Very_Low,Very_Low,No
F00103,Tomato,Fresh Produce,89.67,0.11,0.88,4.09,High,14,4.9,86.0,Chilled,Long_Distance,Micro_Perforated_PE,41,High,High,Yes
F00104,Apple,Fresh Produce,82.24,0.07,0.39,3.39,High,57,5.0,90.0,Chilled,Normal,Micro_Perforated_PE,35,High,High,Yes
F00105,Biscuits,Bakery,4.01,18.56,7.03,7.1,Very_Low,185,26.0,63.0,Ambient,Long_Distance,BOPP_PE,63,Low,Low,No
F00106,Fresh Chicken,Meat,73.06,8.27,23.57,5.86,Very_Low,6,4.6,95.0,Chilled,Refrigerated,PA_PE_Vacuum,93,Low,Very_Low,Yes
F00107,Frozen Peas,Frozen Vegetable,81.05,0.39,5.44,6.18,Low,350,-17.1,90.0,Frozen,Long_Distance,PE_Film,61,Medium,Low,Yes
F00108,Coffee Powder,Beverage,3.23,14.39,14.63,5.03,Very_Low,370,24.8,64.0,Ambient,Normal,Metallized_PET_PE,80,Very_Low,Very_Low,No
F00109,Peanuts,Nuts,5.64,48.41,25.58,6.58,Very_Low,185,24.7,66.0,Ambient,Long_Distance,Metallized_PET_PE,85,Very_Low,Very_Low,No
F00110,Cheese,Dairy,38.11,31.49,24.58,5.25,Very_Low,65,4.0,80.0,Chilled,Long_Distance,PA_PE_Vacuum,99,Low,Very_Low,Yes
F00111,Bread,Bakery,38.64,3.99,9.35,5.51,Very_Low,8,24.8,54.0,Ambient,Normal,LDPE_Bag,54,Medium,Medium,No
F00112,Mango,Fresh Produce,83.53,0.29,0.79,4.08,High,20,10.8,92.0,Chilled,Refrigerated,Breathable_PE,39,High,High,Yes
F00113,Carrot,Fresh Produce,86.28,0.26,0.94,6.08,High,28,6.3,75.0,Chilled,Normal,Micro_Perforated_PE,41,High,High,Yes
F00114,Onion,Vegetable,89.76,0.15,1.16,5.55,Low,124,20.7,61.0,Ambient,Long_Distance,Breathable_PP,54,High,Medium,Yes
F00115,Rice,Grain,12.49,0.85,7.08,6.31,Very_Low,355,24.8,49.0,Ambient,Long_Distance,HDPE,86,Low,Low,No
F00116,Wheat Flour,Grain,11.81,1.6,12.89,6.1,Very_Low,178,24.7,79.0,Ambient,Long_Distance,HDPE,78,Low,Low,No
F00117,Ground Coffee,Beverage,3.36,15.33,14.39,5.1,Very_Low,359,25.0,48.0,Ambient,Normal,High_Barrier_Laminate,90,Very_Low,Very_Low,No
F00118,Butter,Dairy,15.91,81.07,1.02,5.95,Very_Low,119,3.7,76.0,Chilled,Refrigerated,Aluminum_Foil_Laminate,89,Very_Low,Very_Low,No
F00119,Yogurt,Dairy,88.37,2.9,4.04,4.42,Very_Low,33,4.7,72.0,Chilled,Long_Distance,PP_Cup_Foil_Lid,54,Medium,Low,Yes
F00120,Fish,Seafood,77.37,5.08,19.8,6.49,Very_Low,6,3.0,95.0,Chilled,Refrigerated,PA_PE_Vacuum,92,Low,Very_Low,Yes
F00121,Potato Chips,Snacks,2.12,31.96,5.93,6.22,Very_Low,171,24.7,64.0,Ambient,Normal,Metallized_PET_PE,86,Low,Very_Low,Yes
F00122,Milk Powder,Dairy,3.61,26.93,25.62,6.97,Very_Low,362,24.6,56.0,Ambient,Normal,Aluminum_Laminate,93,Very_Low,Very_Low,No
F00123,Tomato,Fresh Produce,94.39,0.03,0.94,4.38,High,14,5.8,75.0,Chilled,Long_Distance,Micro_Perforated_PE,33,High,High,Yes
F00124,Apple,Fresh Produce,86.48,0.3,0.47,3.44,High,63,5.0,83.0,Chilled,Long_Distance,Micro_Perforated_PE,44,High,High,Yes
F00125,Biscuits,Bakery,3.62,17.16,7.26,6.98,Very_Low,187,24.6,73.0,Ambient,Long_Distance,BOPP_PE,52,Low,Low,No
F00126,Fresh Chicken,Meat,72.58,7.93,21.86,5.79,Very_Low,5,4.5,67.0,Chilled,Long_Distance,PA_PE_Vacuum,91,Low,Very_Low,Yes
F00127,Frozen Peas,Frozen Vegetable,79.53,0.33,5.26,6.0,Low,396,-16.5,73.0,Frozen,Normal,PE_Film,67,Medium,Low,Yes
F00128,Coffee Powder,Beverage,3.02,14.42,14.42,4.94,Very_Low,337,24.8,72.0,Ambient,Long_Distance,Metallized_PET_PE,84,Very_Low,Very_Low,No
F00129,Peanuts,Nuts,5.61,46.78,23.77,6.64,Very_Low,193,25.1,56.0,Ambient,Normal,Metallized_PET_PE,89,Very_Low,Very_Low,No
F00130,Cheese,Dairy,36.72,33.38,24.75,5.13,Very_Low,60,3.7,83.0,Chilled,Normal,PA_PE_Vacuum,85,Low,Very_Low,Yes
F00131,Bread,Bakery,39.63,4.09,8.87,5.21,Very_Low,5,25.3,43.0,Ambient,Long_Distance,LDPE_Bag,51,Medium,Medium,No
F00132,Mango,Fresh Produce,86.33,0.3,0.86,3.87,High,20,11.0,83.0,Chilled,Long_Distance,Breathable_PE,41,High,High,Yes
F00133,Carrot,Fresh Produce,87.77,0.2,0.97,5.94,High,31,5.3,86.0,Chilled,Normal,Micro_Perforated_PE,39,High,High,Yes
F00134,Onion,Vegetable,90.38,0.11,1.15,5.62,Low,109,20.5,62.0,Ambient,Normal,Breathable_PP,44,High,Medium,Yes
F00135,Rice,Grain,11.98,0.73,7.07,6.55,Very_Low,394,25.2,58.0,Ambient,Long_Distance,HDPE,85,Low,Low,No
F00136,Wheat Flour,Grain,11.97,1.58,13.31,6.05,Very_Low,167,24.6,49.0,Ambient,Normal,HDPE,86,Low,Low,No
F00137,Ground Coffee,Beverage,2.62,14.26,13.63,5.19,Very_Low,337,24.8,49.0,Ambient,Long_Distance,High_Barrier_Laminate,87,Very_Low,Very_Low,No
F00138,Butter,Dairy,15.52,81.76,1.13,6.28,Very_Low,139,4.0,71.0,Chilled,Refrigerated,Aluminum_Foil_Laminate,91,Very_Low,Very_Low,No
F00139,Yogurt,Dairy,89.22,2.78,4.1,4.52,Very_Low,32,4.0,92.0,Chilled,Normal,PP_Cup_Foil_Lid,49,Medium,Low,Yes
F00140,Fish,Seafood,74.53,5.06,19.89,6.27,Very_Low,5,1.5,78.0,Chilled,Refrigerated,PA_PE_Vacuum,85,Low,Very_Low,Yes
F00141,Potato Chips,Snacks,2.02,30.69,5.85,6.22,Very_Low,174,25.8,51.0,Ambient,Long_Distance,Metallized_PET_PE,80,Low,Very_Low,Yes
F00142,Milk Powder,Dairy,4.03,24.96,25.53,6.64,Very_Low,336,25.2,59.0,Ambient,Normal,Aluminum_Laminate,103,Very_Low,Very_Low,No
F00143,Tomato,Fresh Produce,93.9,0.32,0.8,4.31,High,17,5.2,89.0,Chilled,Long_Distance,Micro_Perforated_PE,46,High,High,Yes
F00144,Apple,Fresh Produce,87.59,0.17,0.33,3.68,High,57,4.5,90.0,Chilled,Refrigerated,Micro_Perforated_PE,42,High,High,Yes
F00145,Biscuits,Bakery,3.8,18.15,6.82,7.26,Very_Low,169,25.2,65.0,Ambient,Normal,BOPP_PE,62,Low,Low,No
F00146,Fresh Chicken,Meat,69.64,8.03,22.27,5.71,Very_Low,6,3.4,90.0,Chilled,Normal,PA_PE_Vacuum,83,Low,Very_Low,Yes
F00147,Frozen Peas,Frozen Vegetable,79.62,0.4,5.47,6.11,Low,339,-19.9,92.0,Frozen,Normal,PE_Film,76,Medium,Low,Yes
F00148,Coffee Powder,Beverage,3.31,14.77,13.31,5.13,Very_Low,368,25.1,66.0,Ambient,Long_Distance,Metallized_PET_PE,73,Very_Low,Very_Low,No
F00149,Peanuts,Nuts,5.83,47.51,24.51,6.35,Very_Low,180,24.6,61.0,Ambient,Long_Distance,Metallized_PET_PE,72,Very_Low,Very_Low,No
F00150,Cheese,Dairy,38.56,33.86,24.82,5.02,Very_Low,56,3.3,84.0,Chilled,Long_Distance,PA_PE_Vacuum,91,Low,Very_Low,Yes
F00151,Bread,Bakery,38.53,4.01,9.15,5.39,Very_Low,7,24.3,59.0,Ambient,Long_Distance,LDPE_Bag,45,Medium,Medium,No
F00152,Mango,Fresh Produce,83.96,0.44,0.71,3.97,High,22,10.4,91.0,Chilled,Long_Distance,Breathable_PE,34,High,High,Yes
F00153,Carrot,Fresh Produce,89.79,0.13,0.93,6.12,High,28,5.0,79.0,Chilled,Normal,Micro_Perforated_PE,34,High,High,Yes
F00154,Onion,Vegetable,84.91,0.15,0.99,5.24,Low,122,21.2,59.0,Ambient,Long_Distance,Breathable_PP,54,High,Medium,Yes
F00155,Rice,Grain,11.4,0.82,6.47,6.5,Very_Low,405,25.3,62.0,Ambient,Long_Distance,HDPE,90,Low,Low,No
F00156,Wheat Flour,Grain,12.17,1.56,12.8,6.07,Very_Low,169,24.8,51.0,Ambient,Long_Distance,HDPE,87,Low,Low,No
F00157,Ground Coffee,Beverage,3.21,15.05,13.7,5.32,Very_Low,382,24.2,55.0,Ambient,Normal,High_Barrier_Laminate,95,Very_Low,Very_Low,No
F00158,Butter,Dairy,15.57,80.26,0.94,6.18,Very_Low,120,4.3,84.0,Chilled,Normal,Aluminum_Foil_Laminate,92,Very_Low,Very_Low,No
F00159,Yogurt,Dairy,88.58,2.95,3.8,4.55,Very_Low,32,3.0,80.0,Chilled,Long_Distance,PP_Cup_Foil_Lid,47,Medium,Low,Yes
F00160,Fish,Seafood,73.94,4.94,19.78,6.12,Very_Low,5,1.7,85.0,Chilled,Refrigerated,PA_PE_Vacuum,86,Low,Very_Low,Yes
F00161,Potato Chips,Snacks,1.78,29.33,5.89,6.14,Very_Low,189,25.2,67.0,Ambient,Normal,Metallized_PET_PE,83,Low,Very_Low,Yes
F00162,Milk Powder,Dairy,3.59,25.82,25.09,6.38,Very_Low,375,25.4,55.0,Ambient,Long_Distance,Aluminum_Laminate,87,Very_Low,Very_Low,No
F00163,Tomato,Fresh Produce,95.92,0.34,0.8,4.37,High,12,5.5,88.0,Chilled,Normal,Micro_Perforated_PE,45,High,High,Yes
F00164,Apple,Fresh Produce,83.86,0.2,0.1,3.75,High,56,5.0,94.0,Chilled,Refrigerated,Micro_Perforated_PE,36,High,High,Yes
F00165,Biscuits,Bakery,3.59,17.13,7.31,6.97,Very_Low,174,25.5,55.0,Ambient,Normal,BOPP_PE,69,Low,Low,No
F00166,Fresh Chicken,Meat,72.59,7.96,23.56,5.71,Very_Low,5,4.7,77.0,Chilled,Normal,PA_PE_Vacuum,79,Low,Very_Low,Yes
F00167,Frozen Peas,Frozen Vegetable,77.74,0.42,5.21,6.21,Low,367,-16.3,83.0,Frozen,Normal,PE_Film,70,Medium,Low,Yes
F00168,Coffee Powder,Beverage,3.24,15.55,13.95,5.01,Very_Low,365,24.7,53.0,Ambient,Long_Distance,Metallized_PET_PE,69,Very_Low,Very_Low,No
F00169,Peanuts,Nuts,6.36,48.03,24.21,6.56,Very_Low,191,25.4,67.0,Ambient,Normal,Metallized_PET_PE,76,Very_Low,Very_Low,No
F00170,Cheese,Dairy,36.8,32.88,24.98,5.27,Very_Low,59,4.3,84.0,Chilled,Long_Distance,PA_PE_Vacuum,85,Low,Very_Low,Yes
